Title,Link,keywords,publicationDate,authors,publication,abstract
Phosphoinositide-signaling is one component of a robust plant defense response,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4052902/,[],2023-04-05,['Dr. Robert Garcia'],Journal of Astrobiology,This research paper investigates phosphoinositide-signaling is one component of a robust plant defense response. The results have implications for long-duration space missions.
Uncovering transcriptional responses to fractional gravity in Arabidopsis roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8539686/,['Arabidopsis'],2022-10-27,"['Dr. Ben Carter', 'Dr. Eva Rostova', 'Dr. James Rodriguez', 'Dr. Thomas Anderson']",Life Support & Space Habitation,This research paper investigates uncovering transcriptional responses to fractional gravity in arabidopsis roots. The results have implications for long-duration space missions.
Conserved plant transcriptional responses to microgravity from two consecutive spaceflight experiments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10800490/,"['Microgravity', 'Spaceflight', 'Space']",2022-05-17,"['Dr. Sarah Wilson', 'Dr. Samuel Jones', 'Dr. Kenji Tanaka']",Journal of Astrobiology,This research paper investigates conserved plant transcriptional responses to microgravity from two consecutive spaceflight experiments.. This work advances our knowledge of biological responses to microgravity.
RNAseq analysis of rodent spaceflight experiments is confounded by sample collection techniques,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7756143/,"['Spaceflight', 'Space']",2020-10-18,['Dr. Maria Gonzalez'],Gravitational and Space Research,This research paper investigates rnaseq analysis of rodent spaceflight experiments is confounded by sample collection techniques. This work advances our knowledge of biological responses to microgravity.
Functional changes in the snail statocyst system elicited by microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3066201/,['Microgravity'],2022-07-02,"['Dr. Michael Brown', 'Dr. Thomas Anderson']",Radiation Research,This research paper investigates functional changes in the snail statocyst system elicited by microgravity. The results have implications for long-duration space missions.
Simulated microgravity impairs human NK [natural killer] cell cytotoxic activity against space radiation-relevant leukemic cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11324864/,"['Cell', 'Radiation', 'Human', 'Microgravity', 'Space']",2020-04-14,"['Dr. Aisha Khan', 'Dr. Sarah Wilson', 'Dr. Kenji Tanaka', 'Dr. Richard Chen']",International Journal of Space Biology,This research paper investigates simulated microgravity impairs human nk [natural killer] cell cytotoxic activity against space radiation-relevant leukemic cells. Our findings contribute to understanding adaptation in space environments.
Multi-analyte biochip (MAB) based on all-solid-state ion-selective electrodes (ASSISE) for physiological research,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3665236/,[],2022-12-17,"['Dr. Elena Petrov', 'Dr. Sarah Wilson']",Life Support & Space Habitation,This research paper investigates multi-analyte biochip (mab) based on all-solid-state ion-selective electrodes (assise) for physiological research. The research supports development of countermeasures for space travel.
Lab-on-a-chip approaches for space-biology research.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10470837/,['Space'],2022-03-30,['Dr. Ben Carter'],Radiation Research,This research paper investigates lab-on-a-chip approaches for space-biology research.. The study provides new insights into the biological mechanisms involved.
Plant chemical genomics: gravity sensing and response.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10386755/,[],2022-04-17,['Dr. Sarah Wilson'],Aerospace Medicine and Human Performance,This research paper investigates plant chemical genomics: gravity sensing and response.. The results have implications for long-duration space missions.
The interaction of vortical flows with red cells in venous valve mimics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8896891/,['Cell'],2021-01-31,"['Dr. Elena Petrov', 'Dr. Amanda Taylor', 'Dr. Eva Rostova', 'Dr. Samuel Jones']",Microgravity Science and Technology,This research paper investigates the interaction of vortical flows with red cells in venous valve mimics.. This work advances our knowledge of biological responses to microgravity.
Mammalian and Invertebrate Models as Complementary Tools for Gaining Mechanistic Insight on Muscle Responses to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8430797/,"['Muscle', 'Rat', 'Spaceflight', 'Space']",2024-09-28,['Dr. Jian Li'],Journal of Astrobiology,This research paper investigates mammalian and invertebrate models as complementary tools for gaining mechanistic insight on muscle responses to spaceflight. The study provides new insights into the biological mechanisms involved.
Investigation of simulated microgravity effects on Streptococcus mutans physiology and global gene expression.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460135/,"['Microgravity', 'Gene']",2020-06-25,"['Dr. Lisa Park', 'Dr. Eva Rostova', 'Dr. Elena Petrov', 'Dr. Samuel Jones']",Radiation Research,This research paper investigates investigation of simulated microgravity effects on streptococcus mutans physiology and global gene expression.. The research supports development of countermeasures for space travel.
Altered quorum sensing and physiology of Staphylococcus aureus during spaceflight detected by multi-omics data analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10774393/,"['Spaceflight', 'Space']",2024-10-18,['Dr. Sofia Rossi'],Life Support & Space Habitation,This research paper investigates altered quorum sensing and physiology of staphylococcus aureus during spaceflight detected by multi-omics data analysis. This work advances our knowledge of biological responses to microgravity.
Homotypic vacuole fusion requires VTI11 and is regulated by phosphoinositides,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6126739/,[],2021-12-10,"['Dr. Aisha Khan', 'Dr. Michael Brown', 'Dr. David Kim']",Aerospace Medicine and Human Performance,This research paper investigates homotypic vacuole fusion requires vti11 and is regulated by phosphoinositides. The study provides new insights into the biological mechanisms involved.
REGULATOR OF BULB BIOGENESIS1 (RBB1) Is Involved in Vacuole Bulb Formation in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4411111/,"['Arabidopsis', 'Gene']",2023-07-01,"['Dr. Maria Gonzalez', 'Dr. Lisa Park', 'Dr. Ben Carter', 'Dr. Sofia Rossi']",Gravitational and Space Research,This research paper investigates regulator of bulb biogenesis1 (rbb1) is involved in vacuole bulb formation in arabidopsis.. This work advances our knowledge of biological responses to microgravity.
"Phosphoinositides control the localization of HOPS subunit VPS41, which together with VPS33 mediates vacuole fusion in plants.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6126739/,[],2024-02-18,"['Dr. Jian Li', 'Dr. Eva Rostova']",Space Life Sciences,"This research paper investigates phosphoinositides control the localization of hops subunit vps41, which together with vps33 mediates vacuole fusion in plants.. The results have implications for long-duration space missions."
Microgravity enhances the phenotype of Arabidopsis zigzag-1 and reduces the Wortmannin-induced vacuole fusion in root cells.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9445043/,"['Cell', 'Arabidopsis', 'Microgravity']",2023-06-15,"['Dr. Richard Chen', 'Dr. Aisha Khan', 'Dr. Michael Brown', 'Dr. Robert Garcia']",Gravitational and Space Research,This research paper investigates microgravity enhances the phenotype of arabidopsis zigzag-1 and reduces the wortmannin-induced vacuole fusion in root cells.. The results have implications for long-duration space missions.
Hypergravity disruption of homeorhetic adaptations to lactation in rat dams include changes in circadian clocks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3509447/,"['Adaptation', 'Rat']",2021-10-09,"['Dr. Ben Carter', 'Dr. Thomas Anderson', 'Dr. Amanda Taylor', 'Dr. Maria Gonzalez']",Life Support & Space Habitation,This research paper investigates hypergravity disruption of homeorhetic adaptations to lactation in rat dams include changes in circadian clocks. Our findings contribute to understanding adaptation in space environments.
Intrauterine exposure to maternal stress alters Bdnf IV DNA methylation and telomere length in the brain of adult rat offspring.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5600826/,"['Stress', 'Brain', 'Dna', 'Rat']",2022-01-24,"['Dr. Eva Rostova', 'Dr. Jennifer Lee']",Space Life Sciences,This research paper investigates intrauterine exposure to maternal stress alters bdnf iv dna methylation and telomere length in the brain of adult rat offspring.. The results have implications for long-duration space missions.
Influence of gonadectomy on muscle health in micro- and partial-gravity environments in rats.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10831389/,"['Muscle', 'Rat']",2021-10-30,['Dr. Amanda Taylor'],Space Life Sciences,This research paper investigates influence of gonadectomy on muscle health in micro- and partial-gravity environments in rats.. The research supports development of countermeasures for space travel.
Sex differences in muscle health in simulated micro- and partial-gravity environments in rats.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10831389/,"['Muscle', 'Rat']",2023-10-30,"['Dr. Michael Brown', 'Dr. Maria Gonzalez']",Gravitational and Space Research,This research paper investigates sex differences in muscle health in simulated micro- and partial-gravity environments in rats.. Our findings contribute to understanding adaptation in space environments.
Brassinazole resistant 1 (BZR1)-dependent brassinosteroid signalling pathway leads to ectopic activation of quiescent cell division and suppresses columella stem cell differentiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4507784/,['Cell'],2024-10-17,"['Dr. Jian Li', 'Dr. Thomas Anderson', 'Dr. James Rodriguez']",Life Support & Space Habitation,This research paper investigates brassinazole resistant 1 (bzr1)-dependent brassinosteroid signalling pathway leads to ectopic activation of quiescent cell division and suppresses columella stem cell differentiation. This work advances our knowledge of biological responses to microgravity.
Proteomic study of microsomal proteins reveals a key role for Arabidopsis Annexin 1 in mediating heat stress-induced increase in intracellular calcium levels.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4349987/,"['Stress', 'Arabidopsis', 'Cell', 'Protein']",2024-08-08,"['Dr. Amanda Taylor', 'Dr. Sofia Rossi', 'Dr. Lisa Park', 'Dr. Sarah Wilson']",Microgravity Science and Technology,This research paper investigates proteomic study of microsomal proteins reveals a key role for arabidopsis annexin 1 in mediating heat stress-induced increase in intracellular calcium levels.. The results have implications for long-duration space missions.
Apyrase inhibitors enhance the ability of diverse fungicides to inhibit the growth of different plant-pathogenic fungi,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6638264/,['Growth'],2020-03-17,"['Dr. Aisha Khan', 'Dr. Ben Carter', 'Dr. Robert Garcia']",Journal of Exobiology,This research paper investigates apyrase inhibitors enhance the ability of diverse fungicides to inhibit the growth of different plant-pathogenic fungi. This work advances our knowledge of biological responses to microgravity.
